LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Lifetime Neutered Male,MIXED,YELLOW,BARKLEY,15101,2099,11/9/2020 1:12:37 PM
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK,BUDDY,15140,2099,5/27/2009 2:44:51 PM
Dog Lifetime Spayed Female,GER SHORTHAIR POINT,SPOTTED,CABELA,15236,2099,6/23/2009 3:31:23 PM
Dog Lifetime Male,BEAGLE MIX,BLACK/BROWN,WATSON,15106,2099,6/15/2011 1:37:05 PM
Dog Lifetime Neutered Male,LABRADOR RETRIEVER,YELLOW,WINSTON,15120,2099,10/18/2019 12:43:23 PM
Dog Lifetime Spayed Female,DACHSHUND,BLACK/RED,PENNY,15120,2099,3/10/2020 2:12:38 PM
Dog Senior Lifetime Spayed Female,BORD COLLIE MIX,WHITE/BLACK,SADIE,15227,2099,6/5/2018 12:39:05 PM
Dog Lifetime Spayed Female,MIXED,BROWN,CHLOE,15132,2099,8/22/2008 12:43:41 PM
Dog Lifetime Duplicate,MIXED,BROWN,CHLOE,15132,2099,9/25/2008 3:50:20 PM
Dog Lifetime Spayed Female,GREAT PYRENEES,WHITE,BELLA,15133,2099,12/22/2017 9:56:54 AM
Dog Lifetime Neutered Male,LABRADOODLE,RED,REMY,15234,2099,2/25/2019 11:06:36 AM
Dog Lifetime Spayed Female,GOLDENDOODLE,BROWN,LOLA,15135,2099,10/23/2020 12:21:17 PM
Dog Lifetime Neutered Male,SHIH TZU,WHITE/BLACK/BROWN,OSCAR MYR,15234,2099,7/22/2019 2:33:29 PM
Dog Lifetime Spayed Female,MIXED,BLONDE,DAISY,15122,2099,3/7/2008 1:00:23 PM
Dog Lifetime Duplicate,MIXED,BLONDE,DAISY,15122,2099,2/17/2011 12:45:31 PM
Dog Lifetime Neutered Male,MIXED,WHITE/BLACK/BROWN,BANDIT,15143,2099,9/13/2018 8:19:02 AM
Dog Lifetime Neutered Male,MIXED,BLACK/BROWN,JACOB,15106,2099,6/5/2020 11:00:05 AM
Dog Lifetime Neutered Male,MIXED,WHITE/BROWN,CLEMENTE,15216,2099,11/12/2019 12:02:27 PM
Dog Lifetime Spayed Female,LABRADOR RETRIEVER,YELLOW,SASHA,15137,2099,1/31/2005 12:00:00 AM
Dog Lifetime Neutered Male,BOXER MIX,BROWN,TYSON,15137,2099,5/1/2008 3:26:04 PM
Dog Lifetime Neutered Male,W HGHLND WH TERRIER,WHITE,WOODROW,15071,2099,7/30/2010 2:10:57 PM
Dog Lifetime Neutered Male,PUG,FAWN,CROSBY,15025,2099,9/24/2019 1:38:17 PM
Dog Senior Lifetime Neutered Male,ENG SPRINGER SPANIE,SPOTTED,MAX,15122,2099,2/13/2017 3:03:02 PM
Dog Lifetime Neutered Male,ENG SPRINGER SPANIE,SPOTTED,MAX,15122,2099,2/13/2017 3:03:00 PM
Dog Lifetime Neutered Male,COCKAPOO,WHITE/TAN,CLYDE,15237,2099,6/7/2019 12:12:11 PM
Dog Lifetime Spayed Female,MIXED,WHITE/BLACK/BROWN,MOLLY,15243,2099,1/30/2020 1:45:01 PM
Dog Lifetime Spayed Female,GER SHEPHERD,BLACK/BROWN,SKYE,15147,2099,9/27/2019 12:18:31 PM
Dog Lifetime Male,LABRADOR RETRIEVER,BLACK,MIDNIGHT STALKER,15144,2099,5/21/2007 3:46:36 PM
Dog Lifetime Spayed Female,CHES BAY RETRIEVER,BROWN,DAISY,15044,2099,5/14/2018 11:06:22 AM
Dog Lifetime Neutered Male,MIXED,WHITE/BROWN,BLU,15106,2099,6/5/2020 10:54:46 AM
Dog Lifetime Neutered Male,GOLDEN RETRIEVER,GOLD,MADD MAXX,15239,2099,10/24/2014 2:17:23 PM
Dog Lifetime Neutered Male,BORD COLLIE,WHITE/BLACK,BUDDY,15147,2099,4/8/2016 3:39:27 PM
Dog Lifetime Male,BORD COLLIE,WHITE/BLACK,RUFUS,15017,2099,5/15/2017 11:54:12 AM
Dog Lifetime Neutered Male,BOXER,FAWN,MAVERICK,15239,2099,4/20/2010 3:07:05 PM
Dog Lifetime Neutered Male,CHIHUAHUA MIX,BLONDE,MCGEE,15120,2099,3/1/2018 10:21:54 AM
Dog Senior Lifetime Neutered Male,MIXED,BLACK/BROWN,CHIPPER,15146,2099,8/24/2007 4:07:54 PM
Dog Lifetime Spayed Female,BOSTON TERRIER,WHITE/BLACK,ELLE,15236,2099,7/8/2008 12:42:18 PM
Dog Lifetime Spayed Female,LAB MIX,WHITE/BLACK,PEPPER,15241,2099,7/9/2020 12:47:54 PM
Dog Lifetime Neutered Male,YORKSHIRE TERRIER,BLACK/BROWN,LUIGI,15122,2099,8/13/2020 3:11:20 PM
Dog Senior Lifetime Spayed Female,MASTIFF,FAWN,OLIVIA,15145,2099,10/9/2018 2:31:03 PM
Dog Lifetime Spayed Female,COLLIE MIX,BLACK WITH WHITE,SKYE,15065,2099,11/20/2017 2:03:47 PM
Dog Senior Lifetime Female,WELSH CORGI PEMBROK,TRI-COLOR,MAVIS,15239,2099,12/13/2018 2:33:13 PM
Dog Lifetime Female,SHILOH GER SHEPHERD,SILVER,HANNAH,15239,2099,1/27/2009 1:52:32 PM
